,0,1,2,3,4,5,6,7,8,9,10,11,,0.098039216,9.803921569,,
257,58,68,57,61,65,68,67,66,68,63,57,63,,1.333333333,53.33333333,,
258,58,68,54,57,65,67,65,66,67,61,57,62,,1.31372549,52.54901961,,
259,58,67,60,60,63,67,66,66,67,62,56,59,,1.31372549,52.54901961,,
260,58,68,58,58,63,67,66,66,67,61,56,59,,1.31372549,52.54901961,,
261,58,68,60,53,63,67,65,66,67,62,57,59,,1.31372549,52.54901961,,
262,58,67,60,56,64,68,68,66,68,60,57,62,,1.333333333,53.33333333,,
263,58,67,60,52,63,67,65,67,67,60,57,56,,1.31372549,52.54901961,,
264,59,68,57,58,66,68,68,66,68,62,57,61,,1.333333333,53.33333333,,
265,58,68,59,63,63,68,65,67,68,60,58,57,,1.333333333,53.33333333,,
266,58,66,62,59,65,68,68,67,68,61,57,62,,1.333333333,53.33333333,,
267,59,68,63,63,66,68,68,67,68,62,57,61,,1.333333333,53.33333333,,
268,51,69,62,57,66,68,67,67,68,62,57,63,,1.333333333,53.33333333,,
269,59,69,61,58,66,68,67,67,68,65,58,64,,1.333333333,53.33333333,,
270,59,68,55,64,66,69,69,68,67,64,58,63,,1.352941176,54.11764706,,
271,57,66,60,56,65,67,65,66,67,62,57,63,,1.31372549,52.54901961,,
272,58,67,60,51,65,68,65,65,67,61,57,65,,1.333333333,53.33333333,,
273,57,66,60,58,64,67,65,66,67,62,56,62,,1.31372549,52.54901961,,
274,57,67,58,55,63,68,68,66,66,61,57,56,,1.333333333,53.33333333,,
275,60,67,62,58,64,68,67,67,67,62,57,61,,1.333333333,53.33333333,,
276,57,66,57,63,64,67,67,66,67,63,57,57,,1.31372549,52.54901961,,
277,57,67,58,55,67,67,64,66,67,60,57,63,,1.31372549,52.54901961,,
278,57,67,57,59,64,67,66,68,67,62,57,63,,1.31372549,52.54901961,,
279,56,67,54,60,66,67,65,67,67,61,57,62,,1.31372549,52.54901961,,
280,56,68,57,58,64,68,66,66,67,64,57,61,,1.333333333,53.33333333,,
281,57,67,53,52,66,67,64,68,67,62,57,61,,1.31372549,52.54901961,,
282,56,67,53,52,66,67,66,69,67,62,57,63,,1.31372549,52.54901961,,
283,56,67,53,55,64,67,67,67,67,62,57,66,,1.31372549,52.54901961,,
284,56,67,58,55,63,67,68,66,67,59,57,60,,1.31372549,52.54901961,,
285,57,67,57,57,63,67,66,65,68,62,57,56,,1.31372549,52.54901961,,
286,57,68,58,59,63,67,68,66,68,59,57,60,,1.31372549,52.54901961,,
287,57,67,59,63,64,67,65,66,67,60,57,59,,1.31372549,52.54901961,,
288,57,68,57,59,64,68,66,66,68,60,58,59,,1.333333333,53.33333333,,
289,57,68,53,57,63,68,66,66,68,63,57,59,,1.333333333,53.33333333,,
290,57,68,60,55,65,67,66,66,67,62,57,62,,1.31372549,52.54901961,,
291,56,67,54,56,64,68,65,65,67,63,57,56,,1.333333333,53.33333333,,
292,56,67,58,62,65,67,65,66,67,62,56,62,,1.31372549,52.54901961,,
293,57,67,55,59,66,68,67,67,68,63,58,63,,1.333333333,53.33333333,,
