,0,1,7,
713,3082.893655,48,58,57
714,3083.782925,48,57,56
715,3084.767781,48,57,56
716,3085.782638,48,57,56
717,3086.66747,48,57,56
718,3087.825511,48,58,57
719,3088.9137,46,58,57
720,3089.860363,46,57,56
721,3090.917192,46,57,56
722,3091.848214,46,57,56
723,3092.868668,46,57,56
724,3093.934223,46,57,56
725,3095.695597,46,56,55
726,3096.703427,46,57,56
727,3097.826082,46,57,56
728,3098.758294,46,57,56
729,3099.799873,44,57,56
730,3100.779039,44,56,55
731,3101.676735,44,56,55
732,3102.762425,44,57,56
733,3103.721729,44,56,55
734,3104.671536,44,56,55
735,3105.803663,44,56,55
736,3106.705835,44,56,55
737,3107.750076,44,56,55
738,3108.692598,44,56,55
739,3109.684817,42,56,55
740,3110.722445,42,57,56
741,3111.63544,42,56,55
742,3112.887692,42,57,56
743,3113.735986,42,57,56
744,3114.7031,42,56,55
745,3115.808825,42,57,56
746,3116.923289,42,58,57
747,3118.950708,42,57,56
748,3120.926815,42,57,56
749,3122.908106,40,57,56
750,3123.732699,40,57,56
751,3124.872806,40,57,56
752,3125.898434,40,57,56
753,3126.867262,40,57,56
754,3127.975983,40,56,55
755,3129.800576,40,57,56
756,3130.859049,40,57,56
757,3131.73926,40,57,56
758,3132.852294,40,57,56
759,3133.857626,38,57,56
760,3134.791088,38,57,56
761,3135.755032,38,57,56
762,3136.831603,38,57,56
763,3137.797585,38,57,56
764,3138.742305,38,57,56
765,3139.790602,38,57,56
766,3140.953016,38,57,56
767,3143.219239,38,57,56
768,3145.103471,38,57,56
769,3147.010051,36,57,56
770,3148.963148,36,57,56
771,3150.941831,36,58,57
772,3152.9235,36,57,56
773,3154.914008,36,57,56
774,3155.827056,36,57,56
775,3156.891669,36,57,56
776,3157.959965,36,56,55
777,3159.86268,36,57,56
778,3160.990213,36,57,56
779,3162.82922,34,57,56
780,3163.814812,34,57,56
781,3164.75671,34,57,56
782,3165.923479,34,57,56
783,3167.788977,34,56,55
784,3168.876825,34,57,56
785,3169.91653,34,57,56
786,3170.901938,34,57,56
787,3172.017348,34,57,56
788,3173.946161,34,57,56
789,3175.864414,32,57,56
790,3176.766039,32,57,56
791,3177.916806,32,57,56
792,3178.905662,32,57,56
793,3179.802039,32,57,56
794,3180.849533,32,57,56
795,3181.988499,32,57,56
796,3183.922183,32,57,56
797,3185.021111,32,57,56
798,3186.939311,32,57,56
799,3188.814424,30,57,56
800,3189.783967,30,57,56
801,3190.93347,30,57,56
802,3192.806771,30,57,56
803,3193.836039,30,57,56
804,3194.843382,30,56,55
805,3195.721235,30,56,55
806,3196.784353,30,56,55
807,3197.752098,30,57,56
808,3198.774922,30,56,55
809,3201.9453,30,57,56
810,3203.830472,30,57,56
811,3204.802004,30,57,56
812,3205.913516,30,56,55
813,3206.882942,30,57,56
814,3207.742062,30,56,55
815,3208.884524,30,57,56
816,3209.901526,30,57,56
817,3210.906509,30,57,56
818,3212.021301,32,58,57
819,3213.9318,32,58,57
820,3216.016229,32,57,56
821,3218.128952,32,57,56
822,3220.019243,32,57,56
823,3222.02884,32,57,56
824,3223.999692,32,57,56
825,3225.93246,32,57,56
826,3227.948552,32,57,56
827,3230.039127,32,57,56
828,3232.04728,34,58,57
829,3233.961038,34,57,56
830,3235.82244,34,57,56
831,3236.862164,34,57,56
832,3237.835712,34,56,55
833,3238.901758,34,57,56
834,3239.914058,34,57,56
835,3240.847557,34,57,56
836,3241.95004,34,57,56
837,3243.872507,34,56,55
838,3244.802057,36,56,55
839,3245.873671,36,57,56
840,3246.890101,36,57,56
841,3247.978735,36,57,56
842,3249.859773,36,58,57
843,3250.877484,36,57,56
844,3251.799765,36,57,56
845,3252.850266,36,57,56
846,3253.749121,36,57,56
847,3254.825285,36,57,56
848,3255.916954,38,57,56
849,3256.912472,38,57,56
850,3257.752063,38,57,56
851,3258.727985,38,57,56
852,3259.744597,38,57,56
853,3260.76079,38,56,55
854,3261.879084,38,57,56
855,3262.998964,38,57,56
856,3264.841569,38,57,56
857,3265.752654,38,57,56
858,3266.799041,40,57,56
859,3267.890614,40,57,56
